activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
368901,CHEMBL680028,CHEMBL1145020,CHEMBL421047,IC50,nM,2640.0,IC50,uM,2.64
368906,CHEMBL680028,CHEMBL1145020,CHEMBL113901,IC50,nM,5220.0,IC50,uM,5.22
368911,CHEMBL680028,CHEMBL1145020,CHEMBL281300,IC50,nM,590.0,IC50,uM,0.59
369171,CHEMBL677387,CHEMBL1130246,CHEMBL129579,IC50,nM,4.8,IC50,nM,4.8
369172,CHEMBL677387,CHEMBL1130246,CHEMBL126893,IC50,nM,8.8,IC50,nM,8.8
369173,CHEMBL677387,CHEMBL1130246,CHEMBL127082,IC50,nM,1.4,IC50,nM,1.4
369986,CHEMBL674029,CHEMBL1127050,CHEMBL309513,IC50,nM,100000.0,IC50,uM,100.0
369987,CHEMBL674029,CHEMBL1127050,CHEMBL79970,IC50,nM,9300.0,IC50,uM,9.3
369989,CHEMBL674029,CHEMBL1127050,CHEMBL81480,IC50,nM,2900.0,IC50,uM,2.9
369990,CHEMBL674029,CHEMBL1127050,CHEMBL82214,IC50,nM,8300.0,IC50,uM,8.3
370697,CHEMBL677387,CHEMBL1130246,CHEMBL128759,IC50,nM,12.0,IC50,nM,12.0
371313,CHEMBL674029,CHEMBL1127050,CHEMBL79621,IC50,nM,35000.0,IC50,uM,35.0
372730,CHEMBL674029,CHEMBL1127050,CHEMBL84141,IC50,nM,53000.0,IC50,uM,53.0
374988,CHEMBL677387,CHEMBL1130246,CHEMBL126372,IC50,nM,0.92,IC50,nM,0.92
374989,CHEMBL673451,CHEMBL1130246,CHEMBL126372,IC50,nM,227.0,IC50,nM,227.0
375981,CHEMBL680028,CHEMBL1145020,CHEMBL157128,IC50,nM,150.0,IC50,uM,0.15
375986,CHEMBL680028,CHEMBL1145020,CHEMBL116853,IC50,nM,90.0,IC50,uM,0.09
375991,CHEMBL680028,CHEMBL1145020,CHEMBL114728,IC50,nM,1600.0,IC50,uM,1.6
375996,CHEMBL680028,CHEMBL1145020,CHEMBL326811,IC50,nM,1620.0,IC50,uM,1.62
376356,CHEMBL677387,CHEMBL1130246,CHEMBL53428,IC50,nM,0.09,IC50,nM,0.09
376357,CHEMBL673451,CHEMBL1130246,CHEMBL53428,IC50,nM,14.0,IC50,nM,14.0
376358,CHEMBL677387,CHEMBL1130246,CHEMBL125568,IC50,nM,14.0,IC50,nM,14.0
376359,CHEMBL677387,CHEMBL1130246,CHEMBL129824,IC50,nM,8.4,IC50,nM,8.4
377315,CHEMBL680028,CHEMBL1145020,CHEMBL114073,IC50,nM,10590.0,IC50,uM,10.59
379120,CHEMBL677387,CHEMBL1130246,CHEMBL128432,IC50,nM,45.0,IC50,nM,45.0
379779,CHEMBL674029,CHEMBL1127050,CHEMBL79704,IC50,nM,4200.0,IC50,uM,4.2
380164,CHEMBL680028,CHEMBL1145020,CHEMBL116525,IC50,nM,910.0,IC50,uM,0.91
380169,CHEMBL680028,CHEMBL1145020,CHEMBL323630,IC50,nM,650.0,IC50,uM,0.65
381225,CHEMBL674029,CHEMBL1127050,CHEMBL312247,IC50,nM,100000.0,IC50,uM,100.0
381554,CHEMBL680028,CHEMBL1145020,CHEMBL424252,IC50,nM,1910.0,IC50,uM,1.91
381559,CHEMBL680028,CHEMBL1145020,CHEMBL324718,IC50,nM,810.0,IC50,uM,0.81
383110,CHEMBL680028,CHEMBL1145020,CHEMBL114490,IC50,nM,2320.0,IC50,uM,2.32
383115,CHEMBL680028,CHEMBL1145020,CHEMBL113902,IC50,nM,7500.0,IC50,uM,7.5
383120,CHEMBL680028,CHEMBL1145020,CHEMBL114392,IC50,nM,2700.0,IC50,uM,2.7
383125,CHEMBL680028,CHEMBL1145020,CHEMBL94061,IC50,nM,11.0,IC50,uM,0.011
383411,CHEMBL677386,CHEMBL1130246,CHEMBL340399,IC50,nM,7.2,IC50,nM,7.2
